Designation;A;Ix;Zx;Sx;rx;Iy;Zy;Sy;ry;J
B24;21.21;2090.5;196.6;174.2;9.93;67.7;25.8;15.6;1.79;3.36
B20;20.88;1815.0;173.2;151.2;9.32;34.0;16.6;9.7;1.26;2.82
B24;20.61;1924.9;182.2;161.2;9.66;65.0;23.8;14.5;1.78;2.36
CB241N;20.59;1929.1;182.0;161.6;9.68;75.4;26.0;16.8;1.91;2.11
CB241;20.58;1953.8;182.9;162.8;9.74;68.0;24.9;16.0;1.82;2.34
B24;20.62;1954.1;184.1;163.7;9.74;67.4;24.6;15.0;1.81;2.45
B32;20.44;1928.0;181.0;160.7;9.71;39.3;18.8;11.2;1.39;3.66
G22;38.96;3501.2;347.0;312.9;9.48;339.3;83.2;51.8;2.95;12.7
G22;36.59;3261.7;324.3;293.2;9.44;312.6;77.1;47.9;2.92;10.6
G22;34.13;2988.1;298.8;270.2;9.36;279.1;69.4;42.8;2.86;8.49
G22;34.12;3021.2;301.2;273.2;9.41;286.0;70.9;43.9;2.90;8.74
G22;31.89;2804.3;280.3;254.9;9.38;261.9;65.3;40.3;2.87;7.24
G22;31.89;2766.7;277.3;251.5;9.33;254.7;63.8;39.2;2.83;6.98
G22;29.69;2557.2;257.2;233.7;9.28;231.3;58.4;35.7;2.79;5.73
G22;29.68;2590.4;259.6;236.8;9.34;238.1;59.8;36.7;2.83;5.93
B22a;28.38;2373.7;240.5;213.4;9.15;115.1;39.7;24.7;2.01;6.93
B22a;28.21;2328.5;236.8;209.3;9.08;110.7;38.4;23.8;1.98;6.56
B22a;26.28;2188.6;222.2;197.9;9.13;104.8;36.4;22.6;2.00;5.61
B22a;26.23;2147.9;219.1;194.2;9.05;100.7;35.2;21.7;1.96;5.32
B22a;24.51;2026.5;206.3;184.2;9.09;95.8;33.4;20.7;1.98;4.59
B22a;24.45;1985.8;203.1;180.5;9.01;91.7;32.2;19.8;1.94;4.34
B22a;22.74;1866.7;190.5;170.6;9.06;87.0;30.5;18.9;1.96;3.71
B22a;22.67;1832.7;187.8;167.4;8.99;83.4;29.4;18.1;1.92;3.52
B22;21.52;1786.1;180.2;159.6;9.11;66.4;25.3;15.5;1.76;3.12
B22;21.51;1796.7;181.4;161.5;9.14;69.1;26.2;16.2;1.79;3.30
B22;20.88;1705.2;175.3;154.2;9.04;65.8;25.1;15.4;1.78;3.03
B22;20.04;1629.3;167.8;147.7;9.02;62.3;23.8;14.6;1.76;2.69
B22;19.84;1637.5;166.0;148.1;9.08;61.8;23.6;14.5;1.76;2.59
B22;19.74;1620.2;164.1;145.6;9.06;59.0;22.6;13.8;1.73;2.42
B22;19.08;1549.5;159.8;140.9;9.01;58.8;22.5;13.8;1.76;2.36
B22;18.38;1495.4;152.3;135.9;9.02;55.2;21.2;13.0;1.73;2.05
B22;18.19;1465.7;149.3;132.5;8.98;51.8;20.1;12.2;1.69;1.88
B22;17.14;1363.9;139.9;124.7;8.92;48.9;19.0;11.5;1.69;1.62
B22;17.10;1352.1;139.1;124.0;8.89;48.6;18.9;11.5;1.69;1.62
B22;17.06;1337.1;137.5;121.6;8.85;45.6;17.9;10.7;1.63;1.51
B22;16.04;1232.6;127.9;113.3;8.77;42.2;16.6;10.0;1.62;1.28
21WF, B21b;41.76;3403.1;354.0;317.2;9.03;385.9;96.5;58.8;3.04;14.6
21WF, CB213;41.76;3403.1;354.0;317.2;9.03;385.9;96.5;58.8;3.04;13.9
CB213;40.00;3313.7;341.7;308.4;9.10;401.7;93.4;61.1;3.17;12.6
21WF, CB213;38.81;3141.6;327.8;294.8;9.00;353.8;89.2;54.1;3.02;11.2
21WF, B21b;38.81;3141.6;327.8;294.8;9.00;353.8;89.2;54.1;3.02;11.9
CB213;37.65;3103.4;320.7;290.4;9.08;375.9;87.5;57.4;3.16;10.6
21WF, CB213;37.34;3017.2;315.2;284.1;8.99;338.6;85.7;51.8;3.01;10.1
21WF, B21b;37.34;3017.2;315.2;284.1;8.99;338.6;85.7;51.8;3.01;10.7
21WF, B21b;35.85;2883.2;301.7;272.5;8.97;322.1;81.9;49.4;3.00;9.53
21WF, CB213;35.85;2883.2;301.7;272.5;8.97;322.1;81.9;49.4;3.00;8.94
CB213;35.28;2890.9;299.4;272.1;9.05;349.7;81.6;53.5;3.15;8.77
CB213N;34.12;2819.7;291.0;265.2;9.09;339.7;79.2;52.0;3.16;8.04
CB213;32.93;2683.7;278.5;254.1;9.03;324.3;75.8;49.8;3.14;7.19
21WF,CB213;32.93;2620.6;275.3;249.6;8.92;289.7;74.4;44.6;2.96;6.94
21WF, B21b;32.93;2620.6;275.3;249.6;8.92;289.7;74.4;44.6;2.96;7.46
CB213N;31.76;2608.0;269.7;246.8;9.06;313.9;73.3;48.2;3.14;6.53
CB213;30.57;2475.3;257.5;235.7;9.00;298.7;69.9;45.9;3.13;5.80
21WF, CB212;30.27;2268.0;242.2;213.1;8.66;119.9;43.3;26.4;1.99;8.16
21WF, B21a;30.27;2268.0;242.2;213.1;8.66;119.9;43.3;26.4;1.99;8.27
CB213N;29.69;2413.8;250.5;229.7;9.02;289.8;67.8;44.6;3.12;5.32
CB212;28.82;2234.5;234.3;209.2;8.80;125.0;42.5;27.5;2.08;7.50
CB212N;28.24;2196.5;229.9;205.5;8.82;122.4;41.6;26.9;2.08;7.03
21WF, CB212;28.21;2088.9;224.1;197.6;8.60;109.3;39.8;24.2;1.97;6.59
21WF, B21a;28.21;2088.9;224.1;197.6;8.60;109.3;39.8;24.2;1.97;6.71
CB213;27.05;2086.4;219.2;196.5;8.78;116.3;39.6;25.7;2.07;6.27
CB212N;26.17;2024.9;212.3;190.7;8.80;112.4;38.2;24.8;2.07;5.68
21WF, CB212;26.15;1919.2;206.6;182.8;8.57;99.4;36.4;22.1;1.95;5.28
21WF, CB21a;26.15;1919.2;206.6;182.8;8.57;99.4;36.4;22.1;1.95;5.39
CB212;25.28;1939.3;204.1;183.6;8.76;107.7;36.8;23.8;2.06;5.17
CB212N;24.41;1879.0;197.3;177.9;8.77;103.9;35.4;23.0;2.06;4.66
21WF, CB212;24.10;1752.4;189.3;168.0;8.53;89.6;33.1;20.0;1.93;4.16
21WF, B21a;24.10;1752.4;189.3;168.0;8.53;89.6;33.1;20.0;1.93;4.26
CB212;23.53;1794.4;189.1;170.9;8.73;99.2;33.9;22.0;2.05;4.22
CB212N;22.63;1732.1;182.1;165.0;8.75;95.3;32.6;21.2;2.05;3.76
CB211;22.34;1684.0;178.2;157.6;8.68;70.7;27.2;17.4;1.78;3.59
B21;22.05;1524.0;164.5;145.1;8.32;41.9;20.0;12.0;1.38;4.13
CB211N;21.46;1650.1;173.5;154.7;8.77;74.2;27.6;17.8;1.86;3.22
21WF, CB211;21.46;1600.3;170.2;150.7;8.64;66.2;26.5;16.0;1.76;3.06
21WF, B21a;21.46;1600.3;170.2;150.7;8.64;66.2;26.5;16.0;1.76;3.18
CB211;20.59;1542.9;163.6;145.2;8.66;64.3;24.8;15.9;1.77;2.84
21WF, CB211;20.02;1478.3;157.8;139.9;8.59;60.4;24.3;14.6;1.74;2.48
21WF, B21;20.02;1478.3;157.8;139.9;8.59;60.4;24.3;14.6;1.74;2.59
CB211N;19.71;1506.2;158.7;142.0;8.74;67.3;25.1;16.2;1.85;2.52
CB211;18.82;1403.3;149.0;132.9;8.64;58.2;22.4;14.5;1.76;2.19
21WF, CB211;18.52;1343.6;144.3;128.0;8.52;53.8;21.9;13.0;1.70;1.93
21WF;18.52;1343.6;144.3;128.0;8.52;53.8;21.9;13.0;1.70;2.03
CB211N;18.23;1382.0;146.0;131.0;8.71;61.4;22.9;14.9;1.84;2.00
21WF, CB211;18.23;1326.8;142.3;126.4;8.53;53.1;21.7;12.9;1.71;1.86
21WF, CB21;18.23;1326.8;142.3;126.4;8.53;53.1;21.7;12.9;1.71;1.96
B63;17.68;1235.5;134.7;117.7;8.36;43.5;17.7;10.6;1.57;1.71
B63;17.68;1235.5;134.7;117.7;8.36;43.5;17.7;10.6;1.57;1.71
CB211;17.64;1304.9;138.9;124.1;8.60;43.7;20.8;13.4;1.75;1.80
21WF, CB211;17.36;1246.8;134.3;119.3;8.47;49.2;20.2;12.0;1.68;1.58
21WF, B21;17.36;1246.8;134.3;119.3;8.47;49.2;20.2;12.0;1.68;1.68
CB211N;17.06;1279.1;135.6;121.8;8.66;56.4;21.1;13.7;1.82;1.62
CB211;17.05;1263.2;134.4;120.3;8.61;52.0;20.1;13.0;1.75;1.65
B22;16.90;1143.0;124.0;108.8;8.22;24.5;12.8;7.5;1.20;1.89
B33;16.85;1227.5;131.3;116.9;8.54;28.4;14.6;8.8;1.30;2.55
CB211;16.17;1166.7;125.2;111.7;8.49;47.3;18.3;11.8;1.71;1.35
  ----;16.18;1140.7;123.5;109.7;8.40;44.0;18.3;10.7;1.65;1.26
G20a;43.84;3134.9;348.9;311.6;8.46;384.6;95.8;60.2;2.96;20.2
G20a;43.44;3106.6;348.9;308.8;8.46;384.5;95.8;60.2;2.97;20.2
G20;42.97;3105.1;343.4;304.7;8.50;332.3;87.6;55.0;2.78;19.8
CB203N;42.95;3108.8;343.6;305.1;8.51;364.9;92.7;60.4;2.91;18.0
G20a;41.71;2960.6;330.5;296.1;8.43;361.0;90.3;56.6;2.94;17.6
G20a;41.31;2932.3;330.5;293.2;8.43;360.9;90.3;56.6;2.96;17.6
G20a;41.28;2938.3;331.1;293.8;8.44;334.3;86.9;53.5;2.85;19.5
G20a;41.19;2934.7;330.7;293.5;8.44;348.9;89.1;55.8;2.91;18.4
G20;39.74;2829.3;314.8;280.4;8.44;299.7;79.5;49.8;2.75;15.7
CB203N;39.71;2832.3;314.9;280.7;8.45;332.0;84.6;55.2;2.89;14.2
G20a;39.58;2788.9;312.3;280.6;8.39;337.7;84.8;53.1;2.92;15.1
G20a;39.18;2760.6;312.3;277.7;8.39;337.6;84.8;53.1;2.94;15.1
G20a;37.33;2607.3;293.0;264.0;8.36;313.0;79.0;49.3;2.90;12.8
G20;36.77;2584.0;289.0;258.4;8.38;270.6;72.3;45.1;2.71;12.6
CB203N;36.76;2587.7;290.8;258.8;8.39;302.8;77.5;50.5;2.87;11.4
G20;35.24;2528.0;280.0;251.3;8.47;260.2;69.3;43.3;2.72;11.1
G20;34.95;2505.5;280.0;249.1;8.47;260.1;69.3;43.2;2.73;11.1
CB203N;33.83;2348.3;263.9;237.0;8.33;274.2;70.2;45.8;2.85;8.75
G20;33.82;2343.9;263.6;236.5;8.32;242.1;65.1;40.5;2.68;9.85
G20;33.20;2362.8;262.5;236.3;8.44;240.8;64.5;40.1;2.69;9.38
G20;32.90;2340.2;262.5;234.0;8.43;240.8;64.5;40.1;2.71;9.38
G20;32.88;2368.9;265.3;236.9;8.49;232.8;63.8;38.8;2.66;10.5
G20;32.81;2342.1;262.5;234.2;8.45;239.3;64.3;39.9;2.70;9.50
G20;31.36;2206.5;246.2;222.0;8.39;222.4;59.9;37.1;2.66;7.91
G20;31.06;2184.0;246.2;219.7;8.39;222.3;59.9;37.1;2.68;7.91
G20;29.21;2034.4;227.8;206.0;8.35;202.1;54.8;33.8;2.63;6.46
B20a;28.89;2010.5;223.6;197.3;8.34;114.1;40.4;25.1;1.99;8.01
CB202N;28.82;2009.7;223.4;197.2;8.35;124.3;42.5;27.4;2.08;7.33
CB202N;25.87;1784.4;199.2;176.9;8.30;109.7;37.6;24.3;2.06;5.36
B20A;25.86;1782.4;199.0;176.7;8.30;99.4;35.4;22.0;1.96;5.88
B20a;24.23;1561.3;180.0;156.1;8.03;71.5;28.1;16.8;1.72;5.07
B20a;24.17;1559.8;179.7;156.0;8.03;79.9;29.7;18.0;1.82;4.58
B20a;23.54;1595.0;179.2;159.5;8.23;87.2;31.3;19.4;1.93;4.43
CB202N;23.53;1596.3;179.3;159.6;8.24;97.4;33.5;21.6;2.03;4.00
B20a;22.77;1568.3;176.8;156.1;8.30;84.6;30.6;19.0;1.93;4.22
CB202N;21.77;1466.7;165.2;147.6;8.21;89.1;30.7;19.9;2.02;3.19
B20a;21.76;1464.7;165.0;147.4;8.20;78.9;28.5;17.6;1.90;3.55
B20a;21.37;1467.8;165.8;146.8;8.29;78.5;28.5;17.7;1.92;3.60
B20a;21.37;1466.5;165.7;146.7;8.28;75.9;28.1;17.3;1.88;3.71
B20a;21.43;1467.9;166.0;146.8;8.28;67.6;26.5;16.2;1.78;4.17
B20a;21.37;1466.5;165.7;146.7;8.28;75.9;28.1;17.3;1.88;3.71
B20;20.26;1268.9;147.3;126.9;7.91;51.2;21.0;12.6;1.59;2.79
B20a;20.12;1366.0;153.2;137.4;8.24;71.0;26.0;16.0;1.88;2.91
B20;19.95;1269.6;146.8;127.0;7.98;45.7;20.0;11.9;1.51;3.09
CB20;19.12;1309.9;145.6;129.4;8.28;60.0;23.2;14.9;1.77;2.36
B20;19.08;1305.6;145.5;128.9;8.27;53.5;21.6;13.3;1.67;2.57
B20;18.86;1222.1;140.3;122.2;8.05;49.8;20.4;12.3;1.62;2.41
B20;18.79;1283.2;144.7;127.6;8.26;54.3;21.9;13.5;1.70;2.63
B20;18.86;1222.1;140.3;122.2;8.05;49.8;20.4;12.3;1.62;2.41
B20;18.55;1223.0;139.8;122.3;8.12;44.3;19.3;11.6;1.54;2.73
B20;18.11;1227.9;138.9;122.4;8.23;51.5;20.8;12.9;1.69;2.35
CB201N;17.65;1189.1;132.9;118.2;8.21;53.9;20.9;13.4;1.75;1.82
B20;17.65;1193.1;135.4;119.3;8.22;43.4;19.0;11.5;1.57;2.55
B20;17.63;1185.5;132.9;117.8;8.20;47.5;19.3;11.8;1.64;2.01
B20;17.36;1172.2;132.8;117.2;8.22;48.3;19.7;12.1;1.66;2.10
B20;17.33;1169.7;132.6;117.0;8.22;48.6;19.7;12.2;1.68;2.07
B20;17.36;1172.2;132.8;117.2;8.22;48.3;19.7;12.1;1.66;2.10
B20;17.15;1176.3;132.8;117.6;8.28;43.0;18.7;11.4;1.58;2.45
B20;16.51;1086.1;123.0;109.3;8.11;43.5;17.8;10.9;1.62;1.68
CB201N;16.19;1075.6;120.8;107.6;8.15;48.3;18.7;12.1;1.73;1.40
B20;16.16;1071.9;120.7;107.2;8.14;41.8;17.2;10.5;1.61;1.55
18WF, CB183;36.45;2227.1;268.0;239.0;7.82;281.9;77.4;47.4;2.78;11.7
18WF, B18b;36.45;2227.1;268.0;239.0;7.82;281.9;77.4;47.4;2.78;12.2
18WF, B18b;33.51;2033.8;245.6;220.1;7.79;255.6;70.8;43.2;2.76;9.71
18WF, CB183;33.51;2033.8;245.6;220.1;7.79;255.6;70.8;43.2;2.76;9.21
18WF, CB183;30.86;1852.5;224.7;202.2;7.75;231.0;64.6;39.2;2.73;7.22
18WF, B18b;30.86;1852.5;224.7;202.2;7.75;231.0;64.6;39.2;2.73;7.66
CB183;29.40;1783.4;215.1;195.6;7.79;253.4;63.9;42.0;2.94;6.30
G18;29.25;1725.7;213.2;190.5;7.68;202.6;56.4;35.1;2.63;7.55
CB183N;29.12;1771.1;214.5;194.5;7.81;242.2;62.5;41.1;2.88;6.35
G18;29.11;1767.7;213.9;193.7;7.79;211.2;57.5;35.8;2.69;7.22
18WF, B18b;28.22;1674.7;204.0;184.4;7.70;206.8;58.4;35.2;2.71;5.93
18WF, CB183;28.22;1674.7;204.0;184.4;7.70;206.8;58.4;35.2;2.71;5.54
CB183;27.35;1648.4;199.3;181.9;7.76;234.0;59.2;38.9;2.93;5.11
G18;27.14;1593.4;197.4;177.0;7.66;185.1;51.8;32.2;2.61;6.18
G18;27.13;1628.5;197.9;179.8;7.75;192.2;52.6;32.7;2.66;5.88
G18;27.12;1591.4;197.2;176.8;7.66;182.6;51.4;31.8;2.59;6.25
G18;27.09;1595.3;197.4;177.3;7.67;172.4;49.8;30.0;2.52;6.74
CB183N;27.06;1631.8;197.9;179.9;7.76;222.2;57.5;37.8;2.87;5.07
G18;25.40;1472.8;183.5;164.7;7.61;168.9;47.6;29.4;2.58;5.10
G18;25.35;1503.6;183.5;167.1;7.70;174.9;48.2;29.8;2.63;4.82
CB183;25.29;1514.1;183.5;168.2;7.74;214.7;54.4;35.8;2.91;4.08
CB183N;25.29;1506.6;183.5;167.2;7.72;204.8;53.1;34.9;2.85;4.11
18WF, CB182;24.97;1429.9;176.0;156.1;7.57;99.4;36.7;22.5;2.00;5.57
18WF, B18a;24.97;1429.9;176.0;156.1;7.57;99.4;36.7;22.5;2.00;5.66
G18;23.81;1360.6;168.6;153.3;7.56;151.7;43.1;26.5;2.52;4.09
CB183N;25.32;1383.4;169.2;154.6;7.67;187.6;48.7;32.0;2.82;3.28
G18;23.59;1380.7;169.3;154.4;7.65;157.8;43.8;26.9;2.59;3.91
CB182;22.94;1318.8;161.0;144.6;7.58;90.9;32.7;21.2;1.99;4.68
B18a;22.70;1287.1;159.2;141.7;7.53;85.0;31.1;19.3;1.93;4.57
18WF, CB182;22.63;1286.8;158.9;141.7;7.54;88.6;33.0;20.2;1.98;4.22
18WF, B18a;22.63;1286.8;158.9;141.7;7.54;88.6;33.0;20.2;1.98;4.30
CB182;22.65;1283.9;158.2;141.5;7.53;93.5;32.8;21.3;2.03;4.16
B18a;21.79;1249.2;154.0;137.9;7.57;82.9;30.3;18.9;1.95;4.22
B18a;21.61;1238.0;154.0;136.6;7.57;82.9;30.3;18.9;1.96;4.22
CB182;21.17;1208.1;147.8;133.4;7.55;82.9;29.9;19.4;1.98;3.72
CB182N;20.59;1155.3;142.9;128.4;7.49;83.7;29.4;19.1;2.02;3.15
B18a;20.58;1152.7;143.2;128.1;7.48;74.8;27.6;17.1;1.91;3.44
18WF, B18a;20.56;1153.9;143.2;128.2;7.49;78.5;29.5;17.9;1.95;3.25
18WF, CB182;20.56;1153.9;143.2;128.2;7.49;78.5;29.5;17.9;1.95;3.17
B18a;20.37;1153.7;142.9;128.2;7.53;75.6;27.8;17.3;1.93;3.44
B18a;20.20;1142.5;142.9;126.9;7.52;75.6;27.8;17.3;1.93;3.44
CB182;19.69;1117.1;136.9;124.1;7.53;76.4;27.6;18.0;1.97;3.03
B18a;18.97;1059.7;131.9;118.5;7.47;68.4;25.3;15.7;1.90;2.77
B18a;18.79;1048.5;131.9;117.3;7.47;68.4;25.3;15.7;1.91;2.77
CB182N;18.83;1047.2;129.9;117.2;7.46;75.5;26.6;17.3;2.00;2.43
B18a;18.81;1044.6;130.2;116.9;7.45;66.7;24.7;15.3;1.88;2.67
18WF, B18a;18.80;1045.8;130.2;117.0;7.46;70.3;26.7;16.1;1.93;2.52
18WF, CB182;18.80;1045.8;130.2;117.0;7.46;70.3;26.7;16.1;1.93;2.45
18WF, CB181;17.64;984.0;121.8;107.8;7.47;47.1;20.6;12.5;1.63;2.19
18WF, B18;17.64;984.0;121.8;107.8;7.47;47.1;20.6;12.5;1.63;2.27
B18a;17.48;960.3;120.2;108.2;7.41;60.7;22.6;13.9;1.86;2.16
B18;17.40;883.3;114.0;98.1;7.12;39.1;17.1;10.2;1.50;2.07
B18;17.29;883.6;113.9;98.2;7.15;35.9;16.4;9.6;1.44;2.23
CB181;17.05;960.8;118.0;105.3;7.51;49.0;20.0;13.0;1.70;2.03
B18;16.81;953.2;117.4;104.5;7.53;44.0;18.8;11.6;1.62;2.17
CB181N;16.76;952.0;116.7;104.3;7.54;48.7;19.9;12.9;1.70;1.97
18WF, B18;16.19;889.9;110.7;98.2;7.41;42.0;18.5;11.1;1.61;1.75
18WF, CB181;16.19;889.9;110.7;98.2;7.41;42.0;18.5;11.1;1.61;1.68
B18;16.06;896.1;111.1;98.9;7.47;41.1;17.6;10.9;1.60;1.89
B18;15.95;888.5;111.1;98.1;7.46;41.1;17.6;10.9;1.60;1.89
B18;15.87;842.0;107.1;93.6;7.28;37.7;16.4;9.9;1.54;1.71
B18;15.87;842.0;107.1;93.6;7.28;37.7;16.4;9.9;1.54;1.71
B18;15.40;832.9;105.5;92.5;7.35;34.4;15.6;9.3;1.49;1.82
B18;15.34;851.7;105.8;94.3;7.45;38.7;16.6;10.3;1.59;1.65
CB181N;15.30;855.1;105.3;94.4;7.48;43.3;17.8;11.5;1.68;1.48
CB181N;15.29;857.3;105.5;94.6;7.49;43.5;17.8;11.6;1.69;1.49
B18;15.29;857.1;106.0;94.6;7.49;38.8;16.7;10.3;1.59;1.64
B18;15.24;825.0;104.2;91.7;7.36;37.1;16.1;9.8;1.56;1.59
B18;15.22;844.1;105.8;93.5;7.45;38.7;16.6;10.3;1.59;1.65
CB181;15.00;810.0;100.9;89.9;7.35;40.5;16.6;10.7;1.64;1.31
18WF, CB181;14.71;800.6;100.0;89.0;7.38;37.2;16.6;9.9;1.59;1.26
18WF, B18;14.71;800.6;100.0;89.0;7.38;37.2;16.6;9.9;1.59;1.33
B18;14.47;810.3;100.3;89.7;7.48;36.3;15.7;9.7;1.58;1.42
B18;14.44;802.8;99.7;89.2;7.46;36.1;15.6;9.6;1.58;1.41
CB181N;14.40;808.6;99.5;89.5;7.49;41.0;16.8;10.9;1.69;1.27
B18;14.32;795.3;99.7;88.4;7.45;36.1;15.6;9.6;1.59;1.41
B18;14.25;798.3;99.8;88.7;7.48;36.2;15.7;9.7;1.59;1.44
B18;14.25;798.3;99.8;88.7;7.48;36.2;15.7;9.7;1.59;1.44
B18;14.23;801.3;100.1;89.0;7.50;33.4;15.1;9.2;1.53;1.63
B64;14.09;737.1;93.3;81.9;7.23;30.0;13.4;8.0;1.46;1.14
B64;14.08;737.1;93.3;81.9;7.23;30.0;13.4;8.0;1.46;1.14
B18;13.90;764.1;95.2;85.2;7.42;34.0;14.7;9.1;1.56;1.24
B18;13.84;768.8;95.4;85.4;7.45;34.1;14.8;9.1;1.57;1.24
CB181N;13.82;768.6;94.8;85.4;7.46;38.7;15.9;10.3;1.67;1.11
CB181;13.82;768.6;94.8;85.4;7.46;38.7;15.9;10.3;1.67;1.11
18WF, CB181;13.81;736.4;92.6;82.3;7.30;33.5;15.1;9.0;1.56;1.02
18WF, B18;13.81;736.4;92.6;82.3;7.30;33.5;15.1;9.0;1.56;1.08
B34;13.53;733.2;91.3;81.5;7.36;19.9;11.1;6.6;1.21;1.70
B23;13.34;675.7;85.1;75.1;7.12;17.1;9.7;5.7;1.13;1.21
  ----;13.24;704.5;88.6;78.9;7.30;31.9;14.4;8.5;1.55;0.90
CB165;33.82;1665.6;225.4;205.2;7.02;426.2;91.9;60.6;3.55;8.45
16WF, CB163;33.51;1642.6;221.3;197.4;7.00;254.6;71.4;43.8;2.76;10.2
16WF, B16b;33.51;1642.6;221.3;197.4;7.00;254.6;71.4;43.8;2.76;10.7
CB165;31.46;1537.2;208.7;190.8;6.99;393.9;85.1;56.1;3.54;6.86
16WF, CB163;30.87;1497.5;202.7;181.7;6.96;230.7;65.3;39.8;2.73;8.07
16WF, B16b;30.87;1497.5;202.7;181.7;6.96;230.7;65.3;39.8;2.73;8.53
CB165;29.41;1426.8;194.3;178.3;6.97;366.0;79.2;52.3;3.53;5.64
16WF, CB163;28.22;1355.1;184.3;166.1;6.93;207.2;59.2;35.9;2.71;6.22
16WF, B16b;28.22;1355.1;184.3;166.1;6.93;207.2;59.2;35.9;2.71;6.63
G16;27.75;1341.4;182.5;165.1;6.95;199.9;55.3;34.6;2.68;7.01
G16;26.51;1274.1;173.3;156.8;6.93;185.1;51.5;32.0;2.64;5.96
CB164N;26.47;1285.5;174.1;158.2;6.97;233.2;58.8;38.6;2.97;4.86
CB164;26.46;1275.5;172.8;157.1;6.94;230.0;58.0;38.1;2.95;4.81
16WF, CB163;25.87;1222.6;167.2;151.3;6.87;185.2;53.5;32.2;2.67;4.77
16WF, B16b;25.87;1222.6;167.2;151.3;6.87;185.2;53.5;32.2;2.67;5.14
G16;25.68;1230.8;168.0;152.7;6.92;181.3;50.5;31.5;2.66;5.66
CB164N;24.42;1172.3;159.4;145.4;6.93;212.5;53.7;35.3;2.95;3.82
CB164;24.41;1167.7;158.7;144.9;6.92;210.4;53.2;35.0;2.94;3.81
G16;24.36;1161.6;158.5;144.1;6.90;166.4;46.6;28.8;2.61;4.73
G16;23.82;1131.3;155.0;141.4;6.89;164.6;46.2;28.6;2.63;4.59
16WF, B16a;22.92;1042.6;144.1;127.8;6.74;87.5;33.3;20.4;1.95;4.96
16WF, CB162;22.92;1042.6;144.1;127.8;6.74;87.5;33.3;20.4;1.95;4.87
CB164;22.34;1061.3;144.6;132.7;6.89;191.1;48.4;31.8;2.92;2.96
G16;22.34;1058.6;144.8;132.3;6.88;149.3;42.2;26.0;2.59;3.75
CB164N;22.33;1065.5;145.3;133.2;6.91;193.1;48.9;32.2;2.94;2.96
G16;21.96;1033.6;142.1;130.2;6.86;148.1;41.9;25.8;2.60;3.67
B16a;21.07;973.5;134.1;119.8;6.80;79.0;29.4;18.4;1.94;4.30
16WF, B16a;20.86;936.9;130.1;115.9;6.70;77.9;29.9;18.2;1.93;3.78
16WF, CB162;20.86;936.9;130.1;115.9;6.70;77.9;29.9;18.2;1.93;3.70
CB163;20.00;923.7;126.2;113.9;6.80;81.3;29.2;19.0;2.02;3.37
B16a;19.99;925.7;127.2;113.9;6.81;73.6;27.5;17.2;1.92;3.66
CB163N;19.99;924.4;126.6;113.9;6.80;80.8;29.1;19.0;2.01;3.39
B16a;19.40;888.4;122.8;110.2;6.77;71.2;26.7;16.7;1.92;3.41
16WF, B16a;18.80;833.8;116.4;104.2;6.66;68.4;26.5;16.1;1.91;2.81
16WF, CB162;18.80;833.8;116.4;104.2;6.66;68.4;26.5;16.1;1.91;2.74
B16a;18.55;845.9;116.9;105.0;6.75;66.3;25.0;15.5;1.89;2.92
CB163N;18.52;851.7;116.9;105.7;6.78;74.2;26.8;17.5;2.00;2.73
CB163;18.52;849.9;116.4;105.5;6.77;74.6;26.8;17.5;2.01;2.71
B16a;17.89;812.1;112.6;101.5;6.74;64.3;24.3;15.1;1.90;2.71
CB163;17.06;776.6;106.6;97.1;6.75;68.0;24.5;16.0;2.00;2.14
CB163N;17.06;776.5;106.9;97.1;6.75;67.4;24.4;16.0;1.99;2.14
B16a;17.05;769.7;106.7;96.2;6.72;59.4;22.5;14.0;1.87;2.30
16WF, B16a;17.04;746.4;104.7;94.1;6.62;60.5;23.7;14.3;1.88;2.11
16WF, CB162;17.04;746.4;104.7;94.1;6.62;60.5;23.7;14.3;1.88;2.05
B16a;16.63;742.3;103.6;93.5;6.68;57.8;22.0;13.6;1.86;2.16
B16;14.78;669.0;92.3;82.3;6.73;36.6;16.2;10.0;1.57;1.69
B16;14.72;658.7;91.5;81.7;6.69;36.6;16.2;10.0;1.58;1.71
CB162N;14.70;668.1;92.0;82.2;6.74;41.1;17.3;11.2;1.67;1.50
CB162;14.70;666.0;91.7;81.9;6.73;38.2;16.7;10.8;1.61;1.60
16WF, CB161;14.70;655.4;90.7;80.7;6.68;34.8;16.2;9.8;1.54;1.53
16WF, B16;14.70;655.4;90.7;80.7;6.68;34.8;16.2;9.8;1.54;1.59
16WF;13.26;530.1;76.4;66.8;6.32;24.2;13.0;6.8;1.35;1.17
B16;13.26;594.5;82.3;73.8;6.69;31.9;14.2;8.8;1.55;1.24
16WF, B16;13.24;583.3;81.1;72.4;6.64;30.5;14.4;8.7;1.52;1.17
16WF, CB161;13.24;583.3;81.1;72.4;6.64;30.5;14.4;8.7;1.52;1.12
CB162N;13.23;594.6;82.3;73.8;6.70;36.3;15.3;10.0;1.66;1.10
CB162;13.23;595.0;82.1;73.8;6.71;34.0;14.9;9.7;1.60;1.18
B16;13.20;588.6;81.9;73.6;6.68;32.2;14.3;8.9;1.56;1.28
CB162;12.65;523.8;74.3;65.7;6.44;28.9;12.7;8.2;1.51;0.89
B16;11.83;526.2;73.0;65.8;6.67;27.6;12.4;7.6;1.53;0.90
